Date,Open,High,Close,Low,Adj Close,Volume
2019-01-02,50.82849884033203,52.61600112915039,52.29249954223633,50.78549957275391,51.801849365234375,30652000
2019-01-03,52.04999923706055,52.8489990234375,50.803001403808594,50.70349884033203,50.32633209228516,36822000
2019-01-04,51.62950134277344,53.54199981689453,53.53549957275391,51.37089920043945,53.0331916809082,41878000
2019-01-07,53.57500076293945,53.70000076293945,53.41949844360352,52.73799896240234,52.918270111083984,39638000
2019-01-08,53.80550003051758,54.22800064086914,53.81399917602539,53.0265007019043,53.3090705871582,35298000
2019-01-09,54.08250045776367,54.13150024414063,53.733001708984375,53.31999969482422,53.22883224487305,23986000
2019-01-10,53.382999420166016,53.557498931884766,53.51649856567383,52.885501861572266,53.01436614990234,29128000
2019-01-11,53.15900039672852,53.188751220703125,52.859500885009766,52.42399978637695,52.36353302001953,30416000
2019-01-14,52.34600067138672,52.57649993896485,52.234500885009766,52.06275177001953,51.7443962097168,22886000
2019-01-15,52.50849914550781,54.00249862670898,53.85749816894531,52.367000579833984,53.3521614074707,29272000
2019-01-16,54.0,54.618751525878906,54.04850006103516,53.96699905395508,53.54137802124024,26636000
2019-01-17,53.9734992980957,54.59000015258789,54.494998931884766,53.67499923706055,53.98368835449219,24854000
2019-01-18,55.0,55.417598724365234,54.91299819946289,54.54499816894531,54.39775848388672,39112000
2019-01-22,54.400001525878906,54.57550048828125,53.5260009765625,53.17350006103516,53.02378082275391,32270000
2019-01-23,53.86750030517578,54.24649810791016,53.77849960327149,52.98749923706055,53.2739143371582,19340000
2019-01-24,53.82400131225586,53.973751068115234,53.69499969482422,53.03499984741211,53.19118881225586,27226000
2019-01-25,54.25,54.70000076293945,54.54949951171875,54.09099960327149,54.03767395019531,22382000
2019-01-28,54.00550079345703,54.150001525878906,53.50400161743164,53.18999862670898,53.00198745727539,25686000
2019-01-29,53.63399887084961,53.75749969482422,53.03099822998047,52.793251037597656,52.53342056274414,20436000
2019-01-30,53.42150115966797,54.54999923706055,54.45299911499024,53.34249877929688,53.94207763671875,25596000
2019-01-31,55.150001525878906,55.86650085449219,55.81850051879883,54.77050018310547,55.294769287109375,30766000
2019-02-01,55.619998931884766,56.25,55.53749847412109,55.24449920654297,55.01639938354492,29244000
2019-02-04,55.632999420166016,56.63999938964844,56.63999938964844,55.45100021362305,56.10855484008789,51530000
2019-02-05,56.242000579833984,57.34249877929688,57.29949951171875,55.86240005493164,56.76186752319336,71044000
2019-02-06,56.97850036621094,57.34999847412109,55.76150131225586,55.63850021362305,55.23830032348633,42112000
2019-02-07,55.20800018310547,55.242000579833984,54.93550109863281,54.29999923706055,54.4200553894043,40896000
2019-02-08,54.34999847412109,54.945499420166016,54.75299835205078,54.32749938964844,54.23926544189453,21516000
2019-02-11,54.84749984741211,55.29724884033203,54.7504997253418,54.64300155639648,54.236793518066406,21304000
2019-02-12,55.34000015258789,56.26475143432617,56.06850051879883,55.29249954223633,55.54241561889648,32182000
2019-02-13,56.2495002746582,56.73649978637695,56.007999420166016,55.92499923706055,55.48249053955078,20996000
2019-02-14,55.90250015258789,56.4114990234375,56.08349990844727,55.52225112915039,55.55728149414063,18952000
2019-02-15,56.50400161743164,56.58349990844727,55.682498931884766,55.532501220703125,55.1600456237793,28996000
2019-02-19,55.5,56.09450149536133,55.928001403808594,55.5,55.40324401855469,20928000
